Method,Steps,Relative L2 mean,Relative L2 std,Relative L2 median,Relative L2 seed mean,Relative L2 seed std,PDE residual norm mean,PDE residual norm std,PDE residual norm median,PDE residual norm seed mean,PDE residual norm seed std,BC error mean,BC error std,BC error median,BC error seed mean,BC error seed std,IC error mean,IC error std,IC error median,IC error seed mean,IC error seed std,wall time mean,wall time std,wall time median,wall time seed mean,wall time seed std,solver steps mean,solver steps std,solver steps median,solver steps seed mean,solver steps seed std,action norm mean,action norm std,action norm median,action norm seed mean,action norm seed std,return mean,return std,return median,return seed mean,return seed std,paired improvement mean,paired improvement std,paired improvement median,paired improvement seed mean,paired improvement seed std,Samples
PINN-style refinement,5,0.34730578786521044,0.19557822335724498,0.2925776094198227,0.34730578786521044,0.06184573662044311,1326.1724482995492,1163.6877729230941,870.3539733886719,1326.1724482995494,190.56430420688744,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.06638696945393113,0.03036817271753161,0.050496550160460174,0.06638696945393113,0.029938320408291398,5.0,0.0,5.0,5.0,0.0,0.0005714739933157235,3.259566581826512e-05,0.0005814834672491998,0.0005714739933157236,1.6625632147841644e-06,0.0007133290059179052,0.002658828354895941,-0.00019121653804177186,0.0007133290059179051,0.00034114501355058134,5.59314395542498e-05,0.0003700386901362386,-5.862116813659668e-05,5.59314395542498e-05,3.8364489661839613e-05,108
PINN-style refinement,10,0.34735435606152926,0.19569361454562617,0.2927268147468567,0.34735435606152926,0.06178234180149435,1312.3809383930984,1155.312341771909,860.0695495605469,1312.3809383930982,187.9196515340492,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.16298001389778047,0.06436317093613418,0.20374240004457533,0.16298001389778047,0.05529974238851488,10.0,0.0,10.0,10.0,0.0,0.0005544444970938558,4.0911818537222176e-05,0.000565061968518421,0.0005544444970938558,2.0945584758753565e-06,0.0007754088213455698,0.0038518324905639457,-0.00039310427655436797,0.0007754088213455697,0.0006927263831654836,7.36324323548211e-06,0.0006218835953476559,-0.00019443780183792114,7.363243235482107e-06,0.00013064055262473296,108
RL Neural Operator Solver,1,0.34658149581540515,0.19590168499128618,0.29046426713466644,0.34658149581540515,0.06113903655437231,1293.130890943386,1138.8823696359764,851.9397888183594,1293.1308909433858,179.8838036023529,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.008940442583816885,0.0038003356861585082,0.007215400109998882,0.008940442583816885,0.0034894675107499783,1.0,0.0,1.0,1.0,0.0,0.00961327190614409,0.0011906922238001155,0.009675836190581322,0.00961327190614409,0.0007319896719568577,0.0033519613920765957,0.009964915603291314,0.001610354578588158,0.0033519613920765957,0.004034924285738823,0.0007802234893595731,0.0018123010004125356,0.00042013823986053467,0.0007802234893595732,0.0007677748375563488,108
RL Neural Operator Solver,2,0.34587886929512024,0.1966611504241902,0.2887297719717026,0.34587886929512024,0.06081356385638185,1265.8121844044438,1116.3302436751735,834.839599609375,1265.8121844044438,169.29690546743961,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.017448236107291584,0.007381416817853866,0.013753400067798793,0.017448236107291584,0.006997392744439835,2.0,0.0,2.0,2.0,0.0,0.009061372196474285,0.0011315587219424496,0.009096426656469703,0.009061372196474285,0.0005286107966718347,0.007316943651016185,0.016585871092125063,0.0034338877885602415,0.007316943651016185,0.005690109839561205,0.0014828500096444731,0.0032178196220600326,0.0007067173719406128,0.001482850009644473,0.0011654202063270465,108
RL Neural Operator Solver,5,0.3449284531590011,0.19784733479330424,0.2819698750972748,0.3449284531590011,0.05983785013387603,1240.3491004661278,1066.448878200754,808.2883911132812,1240.3491004661275,141.39297103876027,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.043062847219752495,0.018192268388041905,0.033830999978818,0.04306284721975249,0.01715239194641829,5.0,0.0,5.0,5.0,0.0,0.009594476460134267,0.0012168148499433708,0.009235946089029312,0.009594476460134265,0.0008074407585408201,0.011094074016791975,0.028147927614633753,0.004092403774848208,0.011094074016791975,0.011057135496318577,0.002433266145763574,0.006362531883215646,0.0011377707123756409,0.0024332661457635734,0.002691250002152139,108
RL Neural Operator Solver,10,0.34434900860543605,0.1995537000001395,0.27346158027648926,0.344349008605436,0.05915968979304824,1217.9983478828713,1030.3280518023312,812.2139587402344,1217.9983478828713,129.87481058642038,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.10391506852789058,0.038669018421131046,0.12816309998743236,0.10391506852789056,0.03326528000242151,10.0,0.0,10.0,10.0,0.0,0.010981053348923861,0.002196798984806625,0.010185601143166422,0.010981053348923861,0.0009027457420053214,0.013963421823887158,0.040812309938289465,0.005069189403002383,0.013963421823887157,0.016599318163355414,0.0030127106993286697,0.009664482157841561,0.0016114115715026855,0.0030127106993286697,0.004340820896569114,108
Supervised Neural Operator Corrector,1,0.34658149581540515,0.19590168499128618,0.29046426713466644,0.34658149581540515,0.06113903655437231,1293.130890943386,1138.8823696359764,851.9397888183594,1293.1308909433858,179.8838036023529,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.005918429634119902,0.0027633548525627374,0.004607400158420205,0.005918429634119901,0.0023928534899323598,1.0,0.0,1.0,1.0,0.0,0.00961327190614409,0.0011906922238001155,0.009675836190581322,0.00961327190614409,0.0007319896719568577,0.0033519613920765957,0.009964915603291314,0.001610354578588158,0.0033519613920765957,0.004034924285738823,0.0007802234893595731,0.0018123010004125356,0.00042013823986053467,0.0007802234893595732,0.0007677748375563488,108
Supervised Neural Operator Corrector,2,0.34587886929512024,0.1966611504241902,0.2887297719717026,0.34587886929512024,0.06081356385638185,1265.8121844044438,1116.3302436751735,834.839599609375,1265.8121844044438,169.29690546743961,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.012179850915412384,0.013437807027199914,0.0085249999538064,0.012179850915412384,0.006203827531884084,2.0,0.0,2.0,2.0,0.0,0.009061372196474285,0.0011315587219424496,0.009096426656469703,0.009061372196474285,0.0005286107966718347,0.007316943651016185,0.016585871092125063,0.0034338877885602415,0.007316943651016185,0.005690109839561205,0.0014828500096444731,0.0032178196220600326,0.0007067173719406128,0.001482850009644473,0.0011654202063270465,108
Supervised Neural Operator Corrector,5,0.3449284531590011,0.19784733479330424,0.2819698750972748,0.3449284531590011,0.05983785013387603,1240.3491004661278,1066.448878200754,808.2883911132812,1240.3491004661275,141.39297103876027,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.027387020372164745,0.013049784287107504,0.020279699936509132,0.027387020372164745,0.012148719430232173,5.0,0.0,5.0,5.0,0.0,0.009594476460134267,0.0012168148499433708,0.009235946089029312,0.009594476460134265,0.0008074407585408201,0.011094074016791975,0.028147927614633753,0.004092403774848208,0.011094074016791975,0.011057135496318577,0.002433266145763574,0.006362531883215646,0.0011377707123756409,0.0024332661457635734,0.002691250002152139,108
Supervised Neural Operator Corrector,10,0.34434900860543605,0.1995537000001395,0.27346158027648926,0.344349008605436,0.05915968979304824,1217.9983478828713,1030.3280518023312,812.2139587402344,1217.9983478828713,129.87481058642038,0.0,0.0,0.0,0.0,0.0,0.00724547915160656,0.03054643973868761,0.0,0.00724547915160656,0.0,0.06494570279890602,0.026332774191684793,0.06908769987057894,0.06494570279890603,0.020316467853287605,10.0,0.0,10.0,10.0,0.0,0.010981053348923861,0.002196798984806625,0.010185601143166422,0.010981053348923861,0.0009027457420053214,0.013963421823887158,0.040812309938289465,0.005069189403002383,0.013963421823887157,0.016599318163355414,0.0030127106993286697,0.009664482157841561,0.0016114115715026855,0.0030127106993286697,0.004340820896569114,108
