Seed,Method,Steps,Relative L2,PDE residual norm,BC error,IC error,wall time,solver steps,action norm,return,paired improvement,Case
42,PINN-style refinement,1,0.2987080514431,745.2938232421875,0.0,0.0,0.009024000028148293,1,0.000606472953222692,7.331084634643048e-05,2.1904706954956055e-05,14
42,Supervised Neural Operator Corrector,1,0.29635560512542725,691.837158203125,0.0,0.0,0.003872899804264307,1,0.008370551280677319,0.007979858666658401,0.0023743510246276855,14
42,TD3 from scratch,1,0.2966381311416626,764.3208618164062,0.0,0.0,0.0055871999356895685,1,0.018685290589928627,0.007026902865618467,0.002091825008392334,14
42,TD3+BC without physics regularization,1,0.2992199957370758,750.2745361328125,0.0,0.0,0.005925199948251247,1,0.02201106585562229,-0.0016392819816246629,-0.000490039587020874,14
42,RL Neural Operator Solver,1,0.29635560512542725,691.837158203125,0.0,0.0,0.005140299908816814,1,0.008370551280677319,0.007979858666658401,0.0023743510246276855,14
42,Base FNO Initializer,1,0.5856672525405884,2984.757080078125,0.0,0.0,1.200009137392044e-06,0,0.0,0.0,0.0,15
42,Gradient residual refinement,1,0.5859240889549255,2880.782958984375,0.0,0.0,0.003587600076571107,1,0.010012411512434483,-0.0004384787753224373,-0.0002568364143371582,15
42,PINN-style refinement,1,0.5856972336769104,2979.039306640625,0.0,0.0,0.008716000011190772,1,0.0006288006552495062,-5.120189598528668e-05,-2.9981136322021484e-05,15
42,Supervised Neural Operator Corrector,1,0.5858504176139832,2898.122802734375,0.0,0.0,0.0037818998098373413,1,0.008860611356794834,-0.0003127144882455468,-0.0001831650733947754,15
42,TD3 from scratch,1,0.58509761095047,2988.284912109375,0.0,0.0,0.005447999807074666,1,0.019040292128920555,0.000972927373368293,0.0005696415901184082,15
42,TD3+BC without physics regularization,1,0.5858904123306274,2980.86669921875,0.0,0.0,0.005124600138515234,1,0.022112850099802017,-0.00038119073724374175,-0.0002231597900390625,15
42,RL Neural Operator Solver,1,0.5858504176139832,2898.122802734375,0.0,0.0,0.005195500096306205,1,0.008860611356794834,-0.0003127144882455468,-0.0001831650733947754,15
42,Base FNO Initializer,1,0.22535035014152527,71.5908203125,0.0,0.0,1.200009137392044e-06,0,0.0,0.0,0.0,16
42,Gradient residual refinement,1,0.22478950023651123,77.65450286865234,0.0,0.0,0.002933700103312731,1,0.009950179606676102,0.0024918934796005487,0.0005608499050140381,16
42,PINN-style refinement,1,0.22516441345214844,69.82122039794922,0.0,0.0,0.008330200100317597,1,0.0006005158647894859,0.0008254218264482915,0.00018593668937683105,16
42,Supervised Neural Operator Corrector,1,0.22119170427322388,56.41191101074219,0.0,0.0,0.003165600122883916,1,0.008657327853143215,0.01862649992108345,0.004158645868301392,16
42,TD3 from scratch,1,0.22062140703201294,82.45064544677734,0.0,0.0,0.005838500102981925,1,0.017262328416109085,0.02120802365243435,0.004728943109512329,16
42,TD3+BC without physics regularization,1,0.22799383103847504,83.5901870727539,0.0,0.0,0.0049681998789310455,1,0.021609898656606674,-0.011662508361041546,-0.002643480896949768,16
42,RL Neural Operator Solver,1,0.22119170427322388,56.41191101074219,0.0,0.0,0.0059084000531584024,1,0.008657327853143215,0.01862649992108345,0.004158645868301392,16
42,Base FNO Initializer,1,0.6123800277709961,3419.184326171875,0.0,0.002559700980782509,1.100124791264534e-06,0,0.0,0.0,0.0,17
42,Gradient residual refinement,1,0.6126189231872559,3312.9736328125,0.0,0.002559700980782509,0.0028880999889224768,1,0.01006351225078106,-0.00039006027509458363,-0.00023889541625976562,17
42,PINN-style refinement,1,0.6124083995819092,3413.40869140625,0.0,0.002559700980782509,0.008437299868091941,1,0.000628956186119467,-4.631407864508219e-05,-2.8371810913085938e-05,17
42,Supervised Neural Operator Corrector,1,0.6126513481140137,3334.9287109375,0.0,0.002559700980782509,0.0031655000057071447,1,0.00892337504774332,-0.00044300040462985635,-0.0002713203430175781,17
42,TD3 from scratch,1,0.6118667721748352,3428.0771484375,0.0,0.002559700980782509,0.0052183999214321375,1,0.019130291417241096,0.0008383411332033575,0.0005132555961608887,17
42,TD3+BC without physics regularization,1,0.6125698685646057,3416.385498046875,0.0,0.002559700980782509,0.005059499992057681,1,0.022086555138230324,-0.00031017648871056736,-0.00018984079360961914,17
42,RL Neural Operator Solver,1,0.6126513481140137,3334.9287109375,0.0,0.002559700980782509,0.004999500000849366,1,0.00892337504774332,-0.00044300040462985635,-0.0002713203430175781,17
42,Base FNO Initializer,1,0.22984197735786438,15.116594314575195,0.0,0.0,1.00000761449337e-06,0,0.0,0.0,0.0,18
