Seed,Case,Step,Horizon,GreedyImmediateReward,GreedyFinalError,LongHorizonReturn,LongHorizonFinalError,AbsoluteOracleGain,RelativeOracleGain,GreedyActionShift,LongActionShift,ActionsDifferent
42,9,3,20,0.0005247975350357592,0.4959471523761749,-0.010909189470112324,0.495726078748703,0.00022107362747192383,0.0004457604533320113,0.5270892381668091,0.5299991965293884,True
42,9,4,20,0.0004612937045749277,0.4958888590335846,-0.011579460464417934,0.4958888590335846,0.0,0.0,0.540684700012207,0.540684700012207,False
42,9,5,20,0.0003105623763985932,0.4958719313144684,-0.011691024526953697,0.4958447813987732,2.714991569519043e-05,5.4751870353340686e-05,0.5632979869842529,0.5295793414115906,True
42,9,6,20,0.00022498377074953169,0.49584901332855225,-0.01175917498767376,0.49584901332855225,0.0,0.0,0.5176733732223511,0.5176733732223511,False
42,9,7,20,7.098060450516641e-05,0.495830237865448,-0.011635844595730305,0.495830237865448,0.0,0.0,0.5742234587669373,0.5742234587669373,False
42,9,8,20,-8.476860239170492e-05,0.4958149194717407,-0.011372843757271767,0.4958149194717407,0.0,0.0,0.6124604940414429,0.6124604940414429,False
42,9,9,20,-6.527213554363698e-05,0.4957205057144165,-0.010801269672811031,0.4957205057144165,0.0,0.0,0.6332675814628601,0.6332675814628601,False
42,9,10,20,-0.0003509513917379081,0.49578630924224854,-0.010409204289317131,0.49578630924224854,0.0,0.0,0.6238587498664856,0.6238587498664856,False
42,9,11,20,-0.00045667681843042374,0.4957723319530487,-0.009719736874103546,0.4957723319530487,0.0,0.0,0.6580284237861633,0.6580284237861633,False
42,9,12,20,-0.0003776758967433125,0.4956584572792053,-0.00870326068252325,0.4956584572792053,0.0,0.0,0.6798570156097412,0.6798570156097412,False
42,9,13,20,-0.0004526803095359355,0.4956369400024414,-0.0077581023797392845,0.4956369400024414,0.0,0.0,0.6596255302429199,0.6596255302429199,False
42,9,14,20,-0.0006172774592414498,0.4956848621368408,-0.006850990932434797,0.4956848621368408,0.0,0.0,0.752472996711731,0.752472996711731,False
42,9,15,20,-0.0004775440611410886,0.4955456554889679,-0.0054766954854130745,0.4955456554889679,0.0,0.0,0.7503630518913269,0.7503630518913269,False
42,9,16,20,-0.0006638523191213608,0.4956296980381012,-0.004477979615330696,0.4956296980381012,0.0,0.0,0.803375780582428,0.803375780582428,False
42,9,17,20,-0.0008036624058149755,0.4956878423690796,-0.0033653313294053078,0.4956878423690796,0.0,0.0,0.9006245732307434,0.9006245732307434,False
42,9,18,20,-0.0005929417093284428,0.49557527899742126,-0.0018615706358104944,0.49557527899742126,0.0,0.0,0.9988833069801331,0.9988833069801331,False
42,9,19,20,-0.0008192331879399717,0.4957084357738495,-0.0008192331879399717,0.4957084357738495,0.0,0.0,1.0834453105926514,1.0834453105926514,False
42,10,0,20,0.0021077413111925125,0.3899542987346649,-0.011098762974143028,0.3899298906326294,2.440810203552246e-05,6.259221174051057e-05,0.4999999701976776,0.4999999701976776,True
42,10,1,20,0.001646797638386488,0.3899911940097809,-0.0130020622164011,0.3899911940097809,0.0,0.0,0.4999999701976776,0.4999999701976776,False
42,10,2,20,0.001333625870756805,0.3903392255306244,-0.013153837993741035,0.3895081877708435,0.0008310377597808838,0.0021290142148823934,0.4999999403953552,0.4999999403953552,True
42,10,3,20,0.001087742275558412,0.3907531201839447,-0.015987452119588852,0.3901926577091217,0.000560462474822998,0.0014343134984031954,0.5,0.5,True
42,10,4,20,0.0007662906427867711,0.39075133204460144,-0.01658531092107296,0.39012542366981506,0.000625908374786377,0.001601807398867508,0.4999999701976776,0.4999999701976776,True
42,10,5,20,0.0005855937488377094,0.39049437642097473,-0.017316512763500214,0.39022549986839294,0.0002688765525817871,0.0006885542246373432,0.5,0.5,True
42,10,6,20,0.00023141942801885307,0.3906886577606201,-0.01842331327497959,0.3905862867832184,0.0001023709774017334,0.00026202700121501194,0.5,0.5,True
