Seed,Policy,state,latent_policy_shift,correction_policy_shift
42,Rollout-Verified RL Neural Operator Solver,30,0.025015585124492645,0.004196339752525091
42,Rollout-Verified RL Neural Operator Solver,31,0.02410808578133583,0.004392924252897501
42,Rollout-Verified RL Neural Operator Solver,32,0.02325303666293621,0.004548375494778156
42,Rollout-Verified RL Neural Operator Solver,33,0.022452853620052338,0.004593233577907085
42,Rollout-Verified RL Neural Operator Solver,34,0.02171250618994236,0.004623278509825468
42,Rollout-Verified RL Neural Operator Solver,35,0.026152515783905983,0.004704408347606659
42,Rollout-Verified RL Neural Operator Solver,36,0.025258081033825874,0.0046828268095850945
42,Rollout-Verified RL Neural Operator Solver,37,0.024426346644759178,0.004620939958840609
42,Rollout-Verified RL Neural Operator Solver,38,0.02365713007748127,0.004490356892347336
42,Rollout-Verified RL Neural Operator Solver,39,0.022951029241085052,0.004276545252650976
42,Rollout-Verified RL Neural Operator Solver,40,0.025458412244915962,0.004477713722735643
42,Rollout-Verified RL Neural Operator Solver,41,0.02456623688340187,0.004617540165781975
42,Rollout-Verified RL Neural Operator Solver,42,0.023725315928459167,0.004695031326264143
42,Rollout-Verified RL Neural Operator Solver,43,0.022936956956982613,0.004686844535171986
42,Rollout-Verified RL Neural Operator Solver,44,0.02220444567501545,0.004629068076610565
42,Rollout-Verified RL Neural Operator Solver,45,0.02219298481941223,0.004592273849993944
42,Rollout-Verified RL Neural Operator Solver,46,0.02121267281472683,0.004924338776618242
42,Rollout-Verified RL Neural Operator Solver,47,0.020331988111138344,0.0052030342631042
42,Rollout-Verified RL Neural Operator Solver,48,0.01955561526119709,0.005415442865341902
42,Rollout-Verified RL Neural Operator Solver,49,0.018885158002376556,0.005572705529630184
42,Rollout-Verified RL Neural Operator Solver,50,0.02219298481941223,0.004592273849993944
42,Rollout-Verified RL Neural Operator Solver,51,0.021209945902228355,0.005173067096620798
42,Rollout-Verified RL Neural Operator Solver,52,0.020323295146226883,0.0057224673219025135
42,Rollout-Verified RL Neural Operator Solver,53,0.019543606787919998,0.005736096762120724
42,Rollout-Verified RL Neural Operator Solver,54,0.018867753446102142,0.00595210213214159
42,Rollout-Verified RL Neural Operator Solver,55,0.024359647184610367,0.02293703518807888
42,Rollout-Verified RL Neural Operator Solver,56,0.02410496026277542,0.019637152552604675
42,Rollout-Verified RL Neural Operator Solver,57,0.023872286081314087,0.01651833951473236
42,Rollout-Verified RL Neural Operator Solver,58,0.02366192825138569,0.014506983570754528
42,Rollout-Verified RL Neural Operator Solver,59,0.02347438782453537,0.01380931120365858
42,Rollout-Verified RL Neural Operator Solver,60,0.024359647184610367,0.02293703518807888
42,Rollout-Verified RL Neural Operator Solver,61,0.025487644597887993,0.004495610948652029
42,Rollout-Verified RL Neural Operator Solver,62,0.02459564246237278,0.004622412379831076
42,Rollout-Verified RL Neural Operator Solver,63,0.02375595085322857,0.0047047073021531105
42,Rollout-Verified RL Neural Operator Solver,64,0.022969070822000504,0.004676115233451128
42,Rollout-Verified RL Neural Operator Solver,65,0.02223857492208481,0.004611210897564888
42,Rollout-Verified RL Neural Operator Solver,66,0.024105466902256012,0.003831973299384117
42,Rollout-Verified RL Neural Operator Solver,67,0.02315991185605526,0.004015694838017225
42,Rollout-Verified RL Neural Operator Solver,68,0.022276228293776512,0.004220571834594011
42,Rollout-Verified RL Neural Operator Solver,69,0.021459488198161125,0.0043617310002446175
42,Rollout-Verified RL Neural Operator Solver,70,0.020716259256005287,0.004465058445930481
42,Rollout-Verified RL Neural Operator Solver,71,0.026104705408215523,0.004752635024487972
42,Rollout-Verified RL Neural Operator Solver,72,0.025218889117240906,0.00472024641931057
42,Rollout-Verified RL Neural Operator Solver,73,0.024393072351813316,0.004662735387682915
42,Rollout-Verified RL Neural Operator Solver,74,0.023627152666449547,0.004546395968645811
42,Rollout-Verified RL Neural Operator Solver,75,0.022921601310372353,0.00434239162132144
42,Rollout-Verified RL Neural Operator Solver,76,0.022454319521784782,0.023884644731879234
42,Rollout-Verified RL Neural Operator Solver,77,0.022224506363272667,0.02594546042382717
42,Rollout-Verified RL Neural Operator Solver,78,0.02202747017145157,0.02691096067428589
42,Rollout-Verified RL Neural Operator Solver,79,0.021858857944607735,0.02631862461566925
42,Rollout-Verified RL Neural Operator Solver,-1,0.02236541996244341,0.007159591326490045
42,TD3+BC,0,0.0,0.0
42,TD3+BC,1,0.0,0.0
42,TD3+BC,2,0.0,0.0
42,TD3+BC,3,0.0,0.0
42,TD3+BC,4,0.0,0.0
42,TD3+BC,5,0.0,0.0
42,TD3+BC,6,0.0,0.0
42,TD3+BC,7,0.0,0.0
42,TD3+BC,8,0.0,0.0
42,TD3+BC,9,0.0,0.0
42,TD3+BC,10,0.0,0.0
42,TD3+BC,11,0.0,0.0
42,TD3+BC,12,0.0,0.0
42,TD3+BC,13,0.0,0.0
42,TD3+BC,14,0.0,0.0
42,TD3+BC,15,0.0,0.0
42,TD3+BC,16,0.0,0.0
42,TD3+BC,17,0.0,0.0
42,TD3+BC,18,0.0,0.0
42,TD3+BC,19,0.0,0.0
42,TD3+BC,20,0.0,0.0
42,TD3+BC,21,0.0,0.0
42,TD3+BC,22,0.0,0.0
42,TD3+BC,23,0.0,0.0
42,TD3+BC,24,0.0,0.0
42,TD3+BC,25,0.0,0.0
42,TD3+BC,26,0.0,0.0
42,TD3+BC,27,0.0,0.0
42,TD3+BC,28,0.0,0.0
42,TD3+BC,29,0.0,0.0
42,TD3+BC,30,0.0,0.0
42,TD3+BC,31,0.0,0.0
42,TD3+BC,32,0.0,0.0
42,TD3+BC,33,0.0,0.0
42,TD3+BC,34,0.0,0.0
42,TD3+BC,35,0.0,0.0
42,TD3+BC,36,0.0,0.0
42,TD3+BC,37,0.0,0.0
42,TD3+BC,38,0.0,0.0
42,TD3+BC,39,0.0,0.0
42,TD3+BC,40,0.0,0.0
42,TD3+BC,41,0.0,0.0
42,TD3+BC,42,0.0,0.0
42,TD3+BC,43,0.0,0.0
42,TD3+BC,44,0.0,0.0
42,TD3+BC,45,0.0,0.0
42,TD3+BC,46,0.0,0.0
42,TD3+BC,47,0.0,0.0
42,TD3+BC,48,0.0,0.0
42,TD3+BC,49,0.0,0.0
42,TD3+BC,50,0.0,0.0
42,TD3+BC,51,0.0,0.0
42,TD3+BC,52,0.0,0.0
42,TD3+BC,53,0.0,0.0
42,TD3+BC,54,0.0,0.0
42,TD3+BC,55,0.0,0.0
42,TD3+BC,56,0.0,0.0
42,TD3+BC,57,0.0,0.0
42,TD3+BC,58,0.0,0.0
42,TD3+BC,59,0.0,0.0
42,TD3+BC,60,0.0,0.0
42,TD3+BC,61,0.0,0.0
42,TD3+BC,62,0.0,0.0
42,TD3+BC,63,0.0,0.0
42,TD3+BC,64,0.0,0.0
42,TD3+BC,65,0.0,0.0
42,TD3+BC,66,0.0,0.0
42,TD3+BC,67,0.0,0.0
42,TD3+BC,68,0.0,0.0
42,TD3+BC,69,0.0,0.0
42,TD3+BC,70,0.0,0.0
42,TD3+BC,71,0.0,0.0
42,TD3+BC,72,0.0,0.0
42,TD3+BC,73,0.0,0.0
42,TD3+BC,74,0.0,0.0
