variant,state,candidate,q,return,horizon,pearson,spearman,pairwise,top1,Seed
full_cycle0,8,zero,-0.10882687568664551,0.005565291969105601,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,8,random,-0.14779123663902283,0.005203881184570491,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,8,shuffled,-0.042491406202316284,0.00671516265720129,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,8,perturb_0.25sigma,-0.18905705213546753,0.0046113558346405625,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,8,perturb_0.5sigma,-0.11209359765052795,0.005477034021168947,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,8,perturb_1sigma,-0.1651180386543274,0.004270661040209234,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,8,perturb_2sigma,-0.2812163829803467,0.003362142131663859,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,9,supervised,-0.16710275411605835,0.003223648527637124,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,9,actor,-0.16710275411605835,0.003223648527637124,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,9,zero,-0.11411815881729126,0.0037130978889763355,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,9,random,-0.15366798639297485,0.003616531379520893,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,9,shuffled,-0.05170035362243652,0.004524424206465483,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,9,perturb_0.25sigma,-0.16573095321655273,0.0032394523732364178,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,9,perturb_0.5sigma,-0.23150384426116943,0.0027067221235483885,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,9,perturb_1sigma,-0.09895569086074829,0.0035420600324869156,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,9,perturb_2sigma,0.05810222029685974,0.00531050655990839,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,10,supervised,-0.09998637437820435,0.0024492258380632848,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,10,actor,-0.09998637437820435,0.0024492258380632848,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,10,zero,-0.011284813284873962,0.0032816469902172685,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,10,random,-0.0032062828540802,0.0034294055076316,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,10,shuffled,0.05355105921626091,0.0033497435797471553,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,10,perturb_0.25sigma,-0.10526135563850403,0.0023920392559375614,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,10,perturb_0.5sigma,-0.07667794078588486,0.002482246665749699,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,10,perturb_1sigma,-0.10550591349601746,0.0023209161299746484,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,10,perturb_2sigma,-0.10532762110233307,0.0022166709532029927,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,11,supervised,-0.13519173860549927,0.0010715954849729314,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,11,actor,-0.13519173860549927,0.0010715954849729314,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,11,zero,-0.009460307657718658,0.0018951852835016325,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,11,random,-0.055757880210876465,0.0013430548715405166,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,11,shuffled,0.05731114372611046,0.002165775338653475,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,11,perturb_0.25sigma,-0.1511020064353943,0.0010796868446050212,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,11,perturb_0.5sigma,-0.1253061294555664,0.0009451624500798061,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,11,perturb_1sigma,-0.1514618992805481,0.0011209096701350063,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,11,perturb_2sigma,-0.10804992914199829,0.0009843778534559533,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
