Case,SolverStep,LatentDistance,CorrectionDifference,NextErrorDifference
860,0,2.999999761581421,0.21850766241550446,0.01608334481716156
860,0,2.999999761581421,0.21850766241550446,0.03600430488586426
860,0,1.0,0.10473116487264633,0.00637480616569519
860,0,1.0,0.10473117232322693,0.006551846861839294
860,0,3.0,0.30775147676467896,0.05824665725231171
860,0,3.0,0.30775147676467896,0.03873090445995331
860,0,1.0,0.1109413281083107,0.0027687400579452515
860,0,1.0,0.1109413281083107,0.011568829417228699
860,0,2.999999761581421,0.3075271248817444,0.06265991926193237
860,0,2.999999761581421,0.3075271248817444,0.03358462452888489
860,0,1.0,0.10822678357362747,0.0032947808504104614
860,0,1.0,0.10822678357362747,0.010404333472251892
860,0,3.000000238418579,0.25978368520736694,0.01401875913143158
860,0,3.000000238418579,0.25978368520736694,0.05572989583015442
860,0,0.9999999403953552,0.09878258407115936,0.010978654026985168
860,0,0.9999999403953552,0.09878258407115936,0.0003587007522583008
860,0,2.999999761581421,0.3636236786842346,0.07601378858089447
860,0,2.999999761581421,0.3636236786842346,0.05315117537975311
860,0,1.0,0.12179804593324661,0.005897998809814453
860,0,1.0,0.12179804593324661,0.011403128504753113
860,0,3.000000238418579,0.2995907664299011,0.04781977832317352
860,0,3.000000238418579,0.2995907664299011,0.04516974091529846
860,0,0.9999999403953552,0.11408140510320663,-0.0016773641109466553
860,0,0.9999999403953552,0.11408140510320663,0.016408339142799377
860,0,3.0,0.26274386048316956,0.05699121952056885
860,0,3.0,0.26274386048316956,0.014113306999206543
860,0,0.9999999403953552,0.10810404270887375,0.012270331382751465
860,0,0.9999999403953552,0.10810404270887375,0.0012806057929992676
860,0,2.999999761581421,0.24028520286083221,0.03413614630699158
860,0,2.999999761581421,0.24028520286083221,0.02850879728794098
860,0,0.9999999403953552,0.09572922438383102,0.011928290128707886
860,0,0.9999999403953552,0.09572922438383102,-0.0013894587755203247
860,0,3.0,0.29757824540138245,0.04304929077625275
860,0,3.0,0.29757824540138245,0.04881185293197632
860,0,0.9999999403953552,0.10391337424516678,0.007752224802970886
860,0,0.9999999403953552,0.10391337424516678,0.004964619874954224
860,0,3.000000238418579,0.30443325638771057,0.05318187177181244
860,0,3.000000238418579,0.30443325638771057,0.04231014847755432
860,0,1.0,0.08460523188114166,0.005823791027069092
860,0,1.0,0.08460523188114166,0.0026595741510391235
860,0,3.0,0.34492987394332886,0.06312653422355652
847,0,1.0,0.12260640412569046,0.0282781720161438
847,0,1.0,0.12260640412569046,0.02885080873966217
847,0,3.0,0.287162721157074,0.11523044109344482
847,0,3.0,0.287162721157074,0.12316428124904633
847,0,1.0,0.0738789513707161,0.0106964111328125
847,0,1.0,0.0738789513707161,0.011387214064598083
847,0,2.999999761581421,0.24226699769496918,0.0945943146944046
847,0,2.999999761581421,0.24226699769496918,0.08845482766628265
847,0,0.9999999403953552,0.09993696957826614,0.020444393157958984
847,0,0.9999999403953552,0.09993696957826614,0.01872614026069641
847,0,3.0,0.2841576933860779,0.11449286341667175
847,0,3.0,0.2841576933860779,0.12014140188694
847,0,1.0,0.09142302721738815,0.017232269048690796
847,0,1.0,0.09142302721738815,0.01590721309185028
847,0,2.999999761581421,0.23815008997917175,0.09238053858280182
847,0,2.999999761581421,0.23815008997917175,0.08573853969573975
847,0,0.9999999403953552,0.09815724939107895,0.018395215272903442
847,0,0.9999999403953552,0.09815724939107895,0.01948314905166626
847,0,3.0,0.32322022318840027,0.13934825360774994
847,0,3.0,0.32322022318840027,0.1453472226858139
847,0,0.9999999403953552,0.10209926217794418,0.017842233180999756
847,0,0.9999999403953552,0.10209926217794418,0.022888004779815674
847,0,3.0,0.2828579545021057,0.11268740892410278
847,0,3.0,0.2828579545021057,0.12028412520885468
847,0,0.9999999403953552,0.09337010234594345,0.01682378351688385
847,0,0.9999999403953552,0.09337010234594345,0.01766049861907959
847,0,2.999999761581421,0.3055632710456848,0.13146527111530304
847,0,2.999999761581421,0.3055632710456848,0.13043402135372162
847,0,1.0,0.09546497464179993,0.01862958073616028
847,0,1.0,0.09546497464179993,0.017322510480880737
847,0,3.0,0.3725947141647339,0.17129553854465485
847,0,3.0,0.3725947141647339,0.17864002287387848
847,0,1.0,0.08783267438411713,0.01623675227165222
847,0,1.0,0.08783267438411713,0.014482751488685608
847,0,2.999999761581421,0.28960639238357544,0.12356145679950714
847,0,2.999999761581421,0.28960639238357544,0.11795614659786224
847,0,1.0,0.09846057742834091,0.019859924912452698
847,0,1.0,0.09846057742834091,0.0182354599237442
847,0,2.999999761581421,0.31172966957092285,0.13823123276233673
847,0,2.999999761581421,0.31172969937324524,0.13156460225582123
847,0,1.0,0.08960450440645218,0.017362922430038452
847,0,1.0,0.08960450440645218,0.01453167200088501
847,0,3.0,0.28472840785980225,0.11546000838279724
847,0,3.0,0.28472840785980225,0.11990572512149811
847,0,1.0,0.11017002165317535,0.024860918521881104
847,0,1.0,0.11017002165317535,0.022082030773162842
847,0,3.0,0.2917533218860626,0.12119691073894501
847,0,3.0,0.2917533218860626,0.12307010591030121
847,0,0.9999999403953552,0.10237902402877808,0.02319185435771942
847,0,0.9999999403953552,0.10237902402877808,0.01773984730243683
847,0,3.0,0.26798853278160095,0.1086767315864563
847,0,3.0,0.26798853278160095,0.10577712953090668
847,0,1.0,0.11357703059911728,0.027187392115592957
847,0,1.0,0.11357703059911728,0.022443294525146484
847,0,3.0,0.31360968947410583,0.13282690942287445
847,0,3.0,0.31360968947410583,0.13939796388149261
847,0,1.0,0.11516859382390976,0.02601282298564911
847,0,1.0,0.11516859382390976,0.02493901550769806
847,0,3.0,0.3485685884952545,0.15764470398426056
847,0,3.0,0.3485685884952545,0.16034166514873505
847,0,1.0,0.09048059582710266,0.015717297792434692
847,0,1.0,0.09048059582710266,0.01678122580051422
847,0,3.0,0.3116557002067566,0.1333165019750595
982,0,1.0,0.10071221739053726,0.019516728818416595
982,0,1.0,0.10071221739053726,0.012194670736789703
