LatentDim,Case,SolverStep,LatentDistance,CorrectionDifference,NextErrorDifference,CorrectionNorm,RelativeStateChange
16,854,0,2.6929445266723633,0.030801158398389816,-8.448958396911621e-05,0.030801158398389816,0.018209407106041908
16,854,0,0.17668378353118896,0.0020208607893437147,0.00019644200801849365,0.0020208607893437147,0.001194717362523079
16,854,0,0.17668378353118896,0.0020208607893437147,-0.00018671154975891113,0.0020208607893437147,0.001194717362523079
16,854,0,1.1829664707183838,0.013530449010431767,0.0008002817630767822,0.013530449010431767,0.007999096997082233
16,854,0,1.1829664707183838,0.013530449010431767,-0.00035469233989715576,0.013530449010431767,0.007999096997082233
16,854,0,0.359184205532074,0.004108248744159937,9.82135534286499e-05,0.004108248744159937,0.0024287651758641005
16,854,0,0.359184205532074,0.004108248744159937,-5.692243576049805e-05,0.004108248744159937,0.0024287651758641005
16,854,0,1.6552448272705078,0.018932238221168518,0.0012604445219039917,0.018932238221168518,0.011192593723535538
16,854,0,1.6552448272705078,0.018932238221168518,-0.0003889352083206177,0.018932238221168518,0.011192593723535538
16,854,0,0.4442322254180908,0.005081006325781345,-0.00034068524837493896,0.005081006325781345,0.0030038519762456417
16,854,0,0.4442322254180908,0.005081006325781345,0.00040289759635925293,0.005081006325781345,0.0030038519762456417
16,854,0,1.2029656171798706,0.013759191147983074,-0.0006104558706283569,0.013759191147983074,0.008134327828884125
16,854,0,1.2029656171798706,0.013759191147983074,0.0010685622692108154,0.013759191147983074,0.008134327828884125
16,854,0,0.1892775446176529,0.0021649040281772614,-0.00011314451694488525,0.0021649040281772614,0.0012798745883628726
16,854,0,0.1892775446176529,0.0021649037953466177,0.00012451410293579102,0.0021649040281772614,0.0012798744719475508
16,854,0,1.4541831016540527,0.016632547602057457,0.0006313174962997437,0.016632547602057457,0.009833034127950668
16,854,0,1.4541831016540527,0.016632547602057457,4.48077917098999e-05,0.016632547602057457,0.009833034127950668
16,854,0,0.26461219787597656,0.0030265632085502148,-0.0002809464931488037,0.0030265632085502148,0.0017892809119075537
16,854,0,0.26461219787597656,0.0030265632085502148,0.0003027617931365967,0.0030265632085502148,0.0017892809119075537
16,854,0,1.2928582429885864,0.014787361025810242,0.0007910877466201782,0.014787361025810242,0.008742174133658409
16,854,0,1.2928582429885864,0.014787361025810242,-0.0002580583095550537,0.014787360094487667,0.008742174133658409
16,854,0,0.1566547304391861,0.001791775575838983,-3.6850571632385254e-05,0.001791775575838983,0.0010592839680612087
16,854,0,0.1566547304391861,0.0017917754594236612,4.470348358154297e-05,0.0017917754594236612,0.001059283851645887
16,854,0,2.095536947250366,0.023968176916241646,0.0018514841794967651,0.023968176916241646,0.014169801957905293
16,854,0,2.095536947250366,0.023968176916241646,-0.00045780837535858154,0.023968176916241646,0.014169801957905293
16,854,0,0.2612054646015167,0.0029875978361815214,0.00011317431926727295,0.0029875978361815214,0.0017662448808550835
16,854,0,0.2612054646015167,0.0029875978361815214,-9.138882160186768e-05,0.0029875978361815214,0.0017662448808550835
