Case,Horizon,GreedyFinalError,LongFinalError,AbsoluteOracleGain,RelativeOracleGain,ActionsDifferent
887,10,0.14204667508602142,0.14204667508602142,0.0,0.0,False
887,20,0.1432235985994339,0.14268147945404053,0.0005421191453933716,0.0037851244536144086,True
833,5,0.14314255118370056,0.14314255118370056,0.0,0.0,False
833,10,0.1438669115304947,0.1428811103105545,0.0009858012199401855,0.0068521747596648076,True
833,20,0.14511491358280182,0.14276432991027832,0.0023505836725234985,0.016198084776326366,True
822,5,0.138694167137146,0.138694167137146,0.0,0.0,False
822,10,0.13871034979820251,0.13871034979820251,0.0,0.0,False
822,20,0.13987281918525696,0.13958296179771423,0.0002898573875427246,0.002072292452751796,True
963,5,0.13783635199069977,0.13783635199069977,0.0,0.0,False
963,10,0.1380573958158493,0.13798788189888,6.951391696929932e-05,0.0005035146183839501,True
963,20,0.13867005705833435,0.13735002279281616,0.0013200342655181885,0.009519245131361629,True
809,5,0.1328938752412796,0.1328938752412796,0.0,0.0,False
809,10,0.13352201879024506,0.13135720789432526,0.0021648108959198,0.016213137844482306,True
809,20,0.13466182351112366,0.13215014338493347,0.0025116801261901855,0.018651760838384233,True
819,5,0.13990497589111328,0.13990497589111328,0.0,0.0,False
819,10,0.14056067168712616,0.13763782382011414,0.002922847867012024,0.020794208165979655,True
819,20,0.14187872409820557,0.13838958740234375,0.0034891366958618164,0.02459238845034092,True
877,5,0.14051741361618042,0.14051741361618042,0.0,0.0,False
877,10,0.14066268503665924,0.13593856990337372,0.0047241151332855225,0.03358470750117085,True
877,20,0.14152143895626068,0.13718773424625397,0.004333704710006714,0.030622248769998094,True
817,5,0.14046962559223175,0.14046962559223175,0.0,0.0,False
817,10,0.14078718423843384,0.14078718423843384,0.0,0.0,False
817,20,0.1421915888786316,0.1418464332818985,0.00034515559673309326,0.002427398128504652,True
987,5,0.1386982947587967,0.13845491409301758,0.00024338066577911377,0.0017547487963162414,True
987,10,0.13933461904525757,0.1389089673757553,0.0004256516695022583,0.003054888099015805,True
987,20,0.14064274728298187,0.13913598656654358,0.0015067607164382935,0.010713390811447945,True
954,5,0.1328229159116745,0.13157036900520325,0.0012525469064712524,0.009430201843363985,True
954,10,0.1328229159116745,0.13053518533706665,0.002287730574607849,0.017223914705570536,True
954,20,0.1328229159116745,0.13107134401798248,0.0017515718936920166,0.013187271802230189,True
890,5,0.14496544003486633,0.14371807873249054,0.0012473613023757935,0.008604542586672965,True
890,10,0.14496544003486633,0.14299841225147247,0.00196702778339386,0.013568942935093775,True
890,20,0.14496544003486633,0.14168597757816315,0.003279462456703186,0.022622374380503567,True
831,5,0.16927596926689148,0.16927596926689148,0.0,0.0,False
831,10,0.16927596926689148,0.16927596926689148,0.0,0.0,False
831,20,0.16927596926689148,0.16927596926689148,0.0,0.0,False
862,5,0.11998606473207474,0.11832402646541595,0.001662038266658783,0.01385192747482855,True
862,10,0.11998606473207474,0.11728774011135101,0.0026983246207237244,0.022488650050728823,True
862,20,0.11998606473207474,0.1180611252784729,0.0019249394536018372,0.016043025145463092,True
986,5,0.12837353348731995,0.12837353348731995,0.0,0.0,False
