Horizon,Case,SolverStep,Stage,ActionsDifferent,ImmediateGain,GreedyFinalError,LongFinalError,TrajectoryGain
5,860,4,Early,False,0.0,0.1383177638053894,0.13444210588932037,0.0038756579160690308
5,847,0,Early,False,0.0,0.12997175753116608,0.12997175753116608,0.0
5,847,1,Early,False,0.0,0.12997175753116608,0.12997175753116608,0.0
5,847,2,Early,False,0.0,0.12997175753116608,0.12997175753116608,0.0
5,847,3,Early,False,0.0,0.12997175753116608,0.12997175753116608,0.0
5,847,4,Early,False,0.0,0.12997175753116608,0.12997175753116608,0.0
5,982,0,Early,True,-0.015918781980872154,0.1195349171757698,0.12153096497058868,-0.001996047794818878
5,982,1,Early,False,0.0,0.1195349171757698,0.12153096497058868,-0.001996047794818878
5,982,2,Early,False,0.0,0.1195349171757698,0.12153096497058868,-0.001996047794818878
5,982,3,Early,False,0.0,0.1195349171757698,0.12153096497058868,-0.001996047794818878
5,982,4,Early,False,0.0,0.1195349171757698,0.12153096497058868,-0.001996047794818878
5,816,0,Early,False,0.0,0.14049695432186127,0.14049695432186127,0.0
5,816,1,Early,False,0.0,0.14049695432186127,0.14049695432186127,0.0
5,816,2,Early,False,0.0,0.14049695432186127,0.14049695432186127,0.0
5,816,3,Early,False,0.0,0.14049695432186127,0.14049695432186127,0.0
5,816,4,Early,False,0.0,0.14049695432186127,0.14049695432186127,0.0
5,911,0,Early,False,0.0,0.14108550548553467,0.14191851019859314,-0.0008330047130584717
5,911,1,Early,True,-0.004548840224742889,0.14108550548553467,0.14191851019859314,-0.0008330047130584717
5,911,2,Early,False,0.0,0.14108550548553467,0.14191851019859314,-0.0008330047130584717
5,911,3,Early,False,0.0,0.14108550548553467,0.14191851019859314,-0.0008330047130584717
5,911,4,Early,False,0.0,0.14108550548553467,0.14191851019859314,-0.0008330047130584717
5,969,0,Early,False,0.0,0.13027746975421906,0.1319420486688614,-0.001664578914642334
5,969,1,Early,True,-0.0013199150562286377,0.13027746975421906,0.1319420486688614,-0.001664578914642334
5,969,2,Early,False,0.0,0.13027746975421906,0.1319420486688614,-0.001664578914642334
5,969,3,Early,False,0.0,0.13027746975421906,0.1319420486688614,-0.001664578914642334
5,969,4,Early,False,0.0,0.13027746975421906,0.1319420486688614,-0.001664578914642334
5,914,0,Early,False,0.0,0.14024005830287933,0.14024005830287933,0.0
5,914,1,Early,False,0.0,0.14024005830287933,0.14024005830287933,0.0
5,914,2,Early,False,0.0,0.14024005830287933,0.14024005830287933,0.0
5,914,3,Early,False,0.0,0.14024005830287933,0.14024005830287933,0.0
