Case,LNO error,Supervised FM single improvement,RL-FM improvement
9,0.07679188251495361,-0.022850535809993744,0.0
10,0.08107028901576996,-0.00415918231010437,-0.00504746288061142
11,0.15686391294002533,-0.0012800246477127075,-0.0026726126670837402
12,0.0768905058503151,-0.030490607023239136,-0.01530522108078003
13,0.13167448341846466,-0.002638906240463257,-0.006093695759773254
14,0.07670200616121292,-0.04392692446708679,-0.01862536370754242
15,0.13011258840560913,-0.0025832951068878174,-0.00315171480178833
16,0.09914068132638931,-0.24610396474599838,-0.07459359616041183
17,0.15194588899612427,0.0019455105066299438,-0.005105555057525635
18,0.19138438999652863,-0.46353863179683685,0.0
19,0.07713769376277924,-0.041244037449359894,0.0
20,0.07698146253824234,-0.014219515025615692,-0.019484013319015503
21,0.07841647416353226,-0.01587177813053131,-0.009119100868701935
22,0.07640233635902405,-0.02855629473924637,-0.012594133615493774
23,0.1382169872522354,-0.000992417335510254,-0.0005211830139160156
0,0.0853433609008789,-0.25982844829559326,-0.027198731899261475
1,0.18137988448143005,-0.008309230208396912,-0.009158283472061157
2,0.1332634538412094,-0.0009605139493942261,-0.010331869125366211
3,0.07704642415046692,-0.06133054196834564,0.0
4,0.09630841761827469,-0.0024977773427963257,-0.001015402376651764
5,0.07756778597831726,-0.03844183683395386,-0.0012255609035491943
6,0.07950345426797867,-0.014555580914020538,-0.0039896368980407715
7,0.07611232995986938,-0.0623302161693573,-0.13813357055187225
8,0.0861954540014267,-0.010059118270874023,-0.023757174611091614
9,0.07679188251495361,-0.10186149179935455,-0.010937295854091644
10,0.08107028901576996,-0.005751706659793854,-0.0008315518498420715
11,0.15686391294002533,-0.005044519901275635,-0.015485450625419617
12,0.0768905058503151,-0.02255011349916458,-0.023014120757579803
13,0.13167448341846466,-0.0017208755016326904,0.00130520761013031
14,0.07670200616121292,-0.08575094491243362,-0.0007469058036804199
15,0.13011258840560913,-0.0035544931888580322,-0.0015234649181365967
16,0.09914068132638931,-0.2612614557147026,0.0
17,0.15194588899612427,-0.013231784105300903,-0.009589076042175293
18,0.19138438999652863,-0.28453342616558075,-0.5950979441404343
19,0.07713769376277924,-0.02194315940141678,-0.00693744421005249
20,0.07698146253824234,-0.08517872542142868,0.0
21,0.07841647416353226,-0.018290579319000244,-0.003339998424053192
22,0.07640233635902405,-0.08859491348266602,0.0
23,0.1382169872522354,-0.0010032504796981812,0.0020675957202911377
0,0.0853433609008789,-0.3321094810962677,0.0
1,0.18137988448143005,-0.013654366135597229,-0.0113859623670578
2,0.1332634538412094,-0.011145994067192078,-0.05115608870983124
3,0.07704642415046692,-0.1169259250164032,-0.009899646043777466
4,0.09630841761827469,-0.006136961281299591,-0.007115907967090607
5,0.07756778597831726,-0.1442282646894455,-0.003073185682296753
6,0.07950345426797867,-0.044271908700466156,-0.00882689654827118
7,0.07611232995986938,-0.18219053745269775,-0.03349081426858902
8,0.0861954540014267,-0.05239620804786682,-0.0022028088569641113
9,0.07679188251495361,-0.09369352459907532,0.0
10,0.08107028901576996,-0.024793513119220734,-0.022718630731105804
11,0.15686391294002533,-0.020529240369796753,-0.014075666666030884
12,0.0768905058503151,-0.1000177189707756,-0.0063178762793540955
13,0.13167448341846466,-0.002223387360572815,-0.011030569672584534
14,0.07670200616121292,-0.03455335646867752,-0.012995094060897827
15,0.13011258840560913,-0.001316264271736145,-0.02516363561153412
16,0.09914068132638931,-0.7958218678832054,0.0
17,0.15194588899612427,-0.007096379995346069,0.0016190409660339355
18,0.19138438999652863,-3.525043413043022,-0.09906269609928131
19,0.07713769376277924,-0.1590764969587326,-0.009300582110881805
20,0.07698146253824234,-0.08803047984838486,0.0
21,0.07841647416353226,-0.043987348675727844,-0.03654743731021881
22,0.07640233635902405,-0.34102165699005127,0.0
23,0.1382169872522354,-0.008214205503463745,-0.025605976581573486
