Case,Method,PhysicalStep,Q,RemainingBudget,SelectedPatches,FrameError
266,CoarseOnly,9,0,32,[],0.9667359590530396
266,CoarseOnly,10,0,32,[],0.9756604433059692
266,CoarseOnly,11,0,32,[],1.005260705947876
266,CoarseOnly,12,0,32,[],1.075486421585083
266,CoarseOnly,13,0,32,[],1.003208041191101
266,CoarseOnly,14,0,32,[],0.9879435896873474
266,CoarseOnly,15,0,32,[],1.0289756059646606
266,CoarseOnly,16,0,32,[],1.0335720777511597
267,CoarseOnly,0,0,32,[],0.07746633887290955
267,CoarseOnly,1,0,32,[],0.10898962616920471
267,CoarseOnly,2,0,32,[],0.13356201350688934
267,CoarseOnly,3,0,32,[],0.16470393538475037
267,CoarseOnly,4,0,32,[],0.2746453285217285
267,CoarseOnly,5,0,32,[],0.5830053091049194
267,CoarseOnly,6,0,32,[],0.8889704346656799
267,CoarseOnly,7,0,32,[],0.9973471164703369
267,CoarseOnly,8,0,32,[],0.9484328627586365
267,CoarseOnly,9,0,32,[],0.9646996855735779
267,CoarseOnly,10,0,32,[],0.9690826535224915
267,CoarseOnly,11,0,32,[],0.9796422719955444
267,CoarseOnly,12,0,32,[],1.015883445739746
267,CoarseOnly,13,0,32,[],0.9411487579345703
267,CoarseOnly,14,0,32,[],0.9186164736747742
267,CoarseOnly,15,0,32,[],0.9493564367294312
267,CoarseOnly,16,0,32,[],0.9229485392570496
268,CoarseOnly,0,0,32,[],0.0772930160164833
268,CoarseOnly,1,0,32,[],0.10897406190633774
268,CoarseOnly,2,0,32,[],0.1354682445526123
268,CoarseOnly,3,0,32,[],0.1796826869249344
268,CoarseOnly,4,0,32,[],0.3353562355041504
268,CoarseOnly,5,0,32,[],0.6391787528991699
268,CoarseOnly,6,0,32,[],0.8858716487884521
268,CoarseOnly,7,0,32,[],1.0110759735107422
268,CoarseOnly,8,0,32,[],1.0694799423217773
268,CoarseOnly,9,0,32,[],1.060809850692749
268,CoarseOnly,10,0,32,[],1.0542412996292114
268,CoarseOnly,11,0,32,[],1.100571870803833
268,CoarseOnly,12,0,32,[],1.1178489923477173
268,CoarseOnly,13,0,32,[],1.1534806489944458
268,CoarseOnly,14,0,32,[],1.1386264562606812
268,CoarseOnly,15,0,32,[],1.1212273836135864
268,CoarseOnly,16,0,32,[],1.0643254518508911
269,CoarseOnly,0,0,32,[],0.07748665660619736
269,CoarseOnly,1,0,32,[],0.10912621021270752
269,CoarseOnly,2,0,32,[],0.13500621914863586
269,CoarseOnly,3,0,32,[],0.17673076689243317
269,CoarseOnly,4,0,32,[],0.33476611971855164
269,CoarseOnly,5,0,32,[],0.6894594430923462
269,CoarseOnly,6,0,32,[],0.970303475856781
269,CoarseOnly,7,0,32,[],1.0545849800109863
269,CoarseOnly,8,0,32,[],1.013822317123413
269,CoarseOnly,9,0,32,[],0.9576626420021057
269,CoarseOnly,10,0,32,[],0.8822212815284729
269,CoarseOnly,11,0,32,[],0.9466406106948853
269,CoarseOnly,12,0,32,[],1.0237843990325928
269,CoarseOnly,13,0,32,[],1.0499773025512695
269,CoarseOnly,14,0,32,[],1.0392322540283203
269,CoarseOnly,15,0,32,[],1.0739647150039673
269,CoarseOnly,16,0,32,[],1.0466923713684082
270,CoarseOnly,0,0,32,[],0.07733946293592453
270,CoarseOnly,1,0,32,[],0.10923143476247787
270,CoarseOnly,2,0,32,[],0.13745105266571045
270,CoarseOnly,3,0,32,[],0.19281898438930511
270,CoarseOnly,4,0,32,[],0.37960851192474365
270,CoarseOnly,5,0,32,[],0.6865289211273193
270,CoarseOnly,6,0,32,[],0.9140661358833313
270,CoarseOnly,7,0,32,[],1.048781156539917
270,CoarseOnly,8,0,32,[],1.0947728157043457
270,CoarseOnly,9,0,32,[],1.0853463411331177
270,CoarseOnly,10,0,32,[],1.0621734857559204
270,CoarseOnly,11,0,32,[],1.0951329469680786
270,CoarseOnly,12,0,32,[],1.0728434324264526
270,CoarseOnly,13,0,32,[],1.1465399265289307
270,CoarseOnly,14,0,32,[],1.1661304235458374
270,CoarseOnly,15,0,32,[],1.1059887409210205
270,CoarseOnly,16,0,32,[],1.0553126335144043
271,CoarseOnly,0,0,32,[],0.07748588174581528
271,CoarseOnly,1,0,32,[],0.10901188850402832
271,CoarseOnly,2,0,32,[],0.13358864188194275
271,CoarseOnly,3,0,32,[],0.16479919850826263
271,CoarseOnly,4,0,32,[],0.2757636308670044
271,CoarseOnly,5,0,32,[],0.5925391316413879
271,CoarseOnly,6,0,32,[],0.909118115901947
271,CoarseOnly,7,0,32,[],1.0179603099822998
271,CoarseOnly,8,0,32,[],0.9664706587791443
271,CoarseOnly,9,0,32,[],0.9496102333068848
271,CoarseOnly,10,0,32,[],0.8972000479698181
271,CoarseOnly,11,0,32,[],0.8842712640762329
271,CoarseOnly,12,0,32,[],0.8876204490661621
271,CoarseOnly,13,0,32,[],0.8639519810676575
271,CoarseOnly,14,0,32,[],0.9573482275009155
271,CoarseOnly,15,0,32,[],1.0329904556274414
271,CoarseOnly,16,0,32,[],0.9978882074356079
272,CoarseOnly,0,0,32,[],0.07762632519006729
272,CoarseOnly,1,0,32,[],0.11008117347955704
272,CoarseOnly,2,0,32,[],0.14339566230773926
272,CoarseOnly,3,0,32,[],0.2312285155057907
272,CoarseOnly,4,0,32,[],0.489911824464798
272,CoarseOnly,5,0,32,[],0.7901768684387207
272,CoarseOnly,6,0,32,[],0.9693716764450073
272,CoarseOnly,7,0,32,[],1.0586379766464233
272,CoarseOnly,8,0,32,[],1.0789358615875244
272,CoarseOnly,9,0,32,[],1.0799680948257446
272,CoarseOnly,10,0,32,[],1.131753921508789
272,CoarseOnly,11,0,32,[],1.1344690322875977
272,CoarseOnly,12,0,32,[],1.1065880060195923
272,CoarseOnly,13,0,32,[],1.0767048597335815
272,CoarseOnly,14,0,32,[],1.1581281423568726
272,CoarseOnly,15,0,32,[],1.2121031284332275
272,CoarseOnly,16,0,32,[],1.213733196258545
273,CoarseOnly,0,0,32,[],0.07736677676439285
273,CoarseOnly,1,0,32,[],0.10880041867494583
273,CoarseOnly,2,0,32,[],0.13281917572021484
273,CoarseOnly,3,0,32,[],0.15902550518512726
273,CoarseOnly,4,0,32,[],0.23927313089370728
273,CoarseOnly,5,0,32,[],0.4833911657333374
273,CoarseOnly,6,0,32,[],0.7742636203765869
